Client_id,Sex,Birth_Date,District_id
1,Male,1998-02-13,18
2,Female,1998-02-14,1
3,Male,1998-02-15,1
4,Male,1998-02-16,5
5,Male,1998-02-17,5
6,Female,1998-02-18,12
7,Male,1998-02-19,15
8,Male,1998-02-20,51
9,Female,1998-02-21,60
10,Male,1998-02-22,57
11,Female,1998-02-23,57
12,Female,1998-02-24,40
13,Male,1998-02-25,54
14,Female,1998-02-26,76
15,Female,1998-02-27,21
16,Male,1998-02-28,21
17,Male,1998-03-01,76
18,Male,1998-03-02,76
19,Female,1998-03-03,47
20,Female,1998-03-04,46
21,Male,1998-03-05,12
22,Male,1998-03-06,1
23,Male,1998-03-07,1
24,Male,1998-03-08,43
25,Male,1998-03-09,21
26,Female,1998-03-10,74
27,Female,1998-03-11,54
28,Male,1998-03-12,1
29,Male,1998-03-13,30
30,Male,1998-03-14,74
31,Male,1998-03-15,68
32,Female,1998-03-16,52
33,Female,1998-03-17,73
36,Male,1998-03-18,7
37,Female,1998-03-19,7
38,Male,1998-03-20,36
39,Male,1998-03-21,68
40,Female,1998-03-22,5
41,Male,1998-03-23,22
42,Male,1998-03-24,68
43,Female,1998-03-25,75
44,Male,1998-03-26,38
45,Female,1998-03-27,20
46,Female,1998-03-28,19
47,Female,1998-03-29,76
48,Male,1998-03-30,16
49,Male,1998-03-31,72
50,Female,1998-04-01,39
51,Female,1998-04-02,36
52,Female,1998-04-03,32
53,Male,1998-04-04,64
55,Female,1998-04-05,45
56,Male,1998-04-06,21
57,Male,1998-04-07,21
58,Male,1998-04-08,1
59,Female,1998-04-09,1
60,Male,1998-04-10,67
61,Female,1998-04-11,16
62,Female,1998-04-12,77
63,Female,1998-04-13,4
64,Female,1998-04-14,20
65,Male,1998-04-15,50
66,Female,1998-04-16,1
67,Male,1998-04-17,29
68,Female,1998-04-18,43
70,Female,1998-04-19,70
71,Female,1998-04-20,70
72,Male,1998-04-21,47
73,Female,1998-04-22,22
74,Female,1998-04-23,22
75,Male,1998-04-24,64
76,Male,1998-04-25,36
77,Female,1998-04-26,1
78,Male,1998-04-27,16
79,Female,1998-04-28,37
80,Male,1998-04-29,64
81,Male,1998-04-30,8
82,Male,1998-05-01,8
83,Male,1998-05-02,1
84,Male,1998-05-03,1
85,Male,1998-05-04,1
86,Female,1998-05-05,1
87,Male,1998-05-06,72
89,Male,1998-05-07,1
90,Male,1998-05-08,52
91,Male,1998-05-09,63
92,Female,1998-05-10,74
93,Female,1998-05-11,3
94,Male,1998-05-12,43
95,Male,1998-05-13,43
